nofinessej;rsej;eml;libeml;noautor;noautorarhgos;noimplarhgos;dateautor;nofinesset;datemeo
800019317;SELAS D'IMAGERIE SCINTIGRAPHIQUE;05701;Caméra à scintillation sans détecteur d'émission de positons;322609762;32-22-844;32-22-844;2001-07-24;800019325;2007-01-24
800019317;SELAS D'IMAGERIE SCINTIGRAPHIQUE;05705;Tomographe à émissions;322609764;32-22-642;32-22-642;2004-10-12;800019325;2004-10-12
800019317;SELAS D'IMAGERIE SCINTIGRAPHIQUE;05701;Caméra à scintillation sans détecteur d'émission de positons;322609765;32-22-828;32-22-828;2008-11-28;800019325;2009-10-07
800019317;SELAS D'IMAGERIE SCINTIGRAPHIQUE;05705;Tomographe à émissions;322609839;32-22-76494;32-22-76494;2022-06-30;800019325;
840013049;SARL SOC EXPLOIT CAIS HYPERB SITE CLIN;44901;Caisson hyperbare;932609766;93-93-4394;93-93-4394;2007-05-23;840020341;2007-05-23
870000031;CTRE HOSPITALIER J BOUTARD ST YRIEIX;05602;Scanographe à utilisation médicale;752609767;75-74-35817;75-74-35817;2010-12-02;870000270;2011-04-21
870015526;GIE GROUPEMENT D'IMAGERIE MEDICALE;06201;Appareil d'IRM à utilisation clinique;752609768;75-74-35818;75-74-35818;2001-02-26;870011558;2001-02-26
210001343;CENTRE DE MEDECINE NUCLEAIRE DU PARC;05701;Caméra à scintillation sans détecteur d'émission de positons;272609490;27-26-35675;27-26-35675;2006-12-14;890008758;2009-04-24
210001343;CENTRE DE MEDECINE NUCLEAIRE DU PARC;05705;Tomographe à émissions;272609484;27-26-42535;27-26-42535;2009-06-12;890008774;2012-05-03
210001343;CENTRE DE MEDECINE NUCLEAIRE DU PARC;05702;Caméra à scintillation avec détecteur d'émission de positons;272609485;27-26-45182;27-26-45182;2011-11-03;890008774;2013-11-22
210001343;CENTRE DE MEDECINE NUCLEAIRE DU PARC;05702;Caméra à scintillation avec détecteur d'émission de positons;272609488;27-26-45673;27-26-45673;2004-03-15;890008774;2007-10-09
900004011;GIE MEDECINE NUCLEAIRE NORD F COMTE;05701;Caméra à scintillation sans détecteur d'émission de positons;272609769;27-43-35634;27-43-35634;2006-07-25;900003963;2017-03-21
900004011;GIE MEDECINE NUCLEAIRE NORD F COMTE;05701;Caméra à scintillation sans détecteur d'émission de positons;272609770;27-43-35635;27-43-35635;2006-12-19;900003963;2006-12-19
900004011;GIE MEDECINE NUCLEAIRE NORD F COMTE;05701;Caméra à scintillation sans détecteur d'émission de positons;272609771;27-43-35642;27-43-35642;2000-12-11;900003963;2010-01-12
900004011;GIE MEDECINE NUCLEAIRE NORD F COMTE;05705;Tomographe à émissions;272609772;27-43-35734;27-43-35734;2006-01-30;900003963;2009-03-30
910002773;CENTRE HOSPITALIER SUD FRANCILIEN;05602;Scanographe à utilisation médicale;112609773;11-11-199;11-11-199;2003-05-14;910020254;2003-05-14
910002773;CENTRE HOSPITALIER SUD FRANCILIEN;06201;Appareil d'IRM à utilisation clinique;112609774;11-11-39422;11-11-39422;2011-06-24;910020254;2015-03-25
910002773;CENTRE HOSPITALIER SUD FRANCILIEN;05705;Tomographe à émissions;112609775;11-11-39479;11-11-39479;2009-12-18;910020254;2014-01-07
910002773;CENTRE HOSPITALIER SUD FRANCILIEN;05701;Caméra à scintillation sans détecteur d'émission de positons;112609776;11-11-1462;11-11-1462;1992-05-07;910020254;1992-05-07
910002773;CENTRE HOSPITALIER SUD FRANCILIEN;05701;Caméra à scintillation sans détecteur d'émission de positons;112609777;11-11-1463;11-11-1463;1995-07-06;910020254;2006-12-13
910002773;CENTRE HOSPITALIER SUD FRANCILIEN;05602;Scanographe à utilisation médicale;112609778;11-11-1426;11-11-1426;2004-06-15;910020254;2005-06-29
750813321;FONDATION CURIE;06301;Cyclotron à utilisation médicale;112609738;11-11-197;11-11-197;1901-01-01;910813732;2005-09-27
920150059;ASSOCIATION HOPITAL FOCH;05701;Caméra à scintillation sans détecteur d'émission de positons;112609780;11-11-2107;11-11-2107;1999-12-30;920000650;2001-04-17
920150059;ASSOCIATION HOPITAL FOCH;05701;Caméra à scintillation sans détecteur d'émission de positons;112609781;11-11-2108;11-11-2108;2003-10-14;920000650;2006-03-02
920024775;SCM ANGIO SCAN;05602;Scanographe à utilisation médicale;112609779;11-11-50737;11-11-50737;2014-05-26;920012978;2016-09-22
750712184;ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS;05602;Scanographe à utilisation médicale;112609730;11-11-75896;11-11-75896;2022-01-20;920100039;2023-10-30
930025614;GIE TEP - SAINT-DENIS;05705;Tomographe à émissions;112609790;11-11-51069;11-11-51069;2014-06-04;930025622;2015-09-28
930022967;GCS - ONNU;05705;Tomographe à émissions;112609789;11-11-4098;11-11-4098;2009-04-28;930025671;2010-07-27
930004189;GIE IRM DE SAINT DENIS;06201;Appareil d'IRM à utilisation clinique;112609784;11-11-1498;11-11-1498;2000-08-21;930026869;2002-10-31
930021209;MEDECINE ET IMAGERIE NUCLEAIRE - MIN;05701;Caméra à scintillation sans détecteur d'émission de positons;112609788;11-11-4921;11-11-4921;2009-12-18;930026877;2013-12-18
930021209;MEDECINE ET IMAGERIE NUCLEAIRE - MIN;05701;Caméra à scintillation sans détecteur d'émission de positons;112609785;11-11-2806;11-11-2806;2000-06-06;930026935;2001-05-03
930021209;MEDECINE ET IMAGERIE NUCLEAIRE - MIN;05701;Caméra à scintillation sans détecteur d'émission de positons;112609786;11-11-2807;11-11-2807;2000-06-06;930026935;2001-05-03
930021209;MEDECINE ET IMAGERIE NUCLEAIRE - MIN;05701;Caméra à scintillation sans détecteur d'émission de positons;112609787;11-11-2951;11-11-2951;2004-04-20;930026935;2005-11-25
930028915;GIE TEP DELAFONTAINE PLAINE DE FRANCE;05705;Tomographe à émissions;112609791;11-11-70729;11-11-70729;2019-04-11;930028923;2019-09-16
930033014;SAS IMANUC;05705;Tomographe à émissions;112609792;11-11-70668;11-11-70668;2019-04-11;930033022;2022-06-22
750712184;ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS;05701;Caméra à scintillation sans détecteur d'émission de positons;112609731;11-11-1504;11-11-1504;2003-10-14;930100037;2008-06-30
750712184;ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS;05701;Caméra à scintillation sans détecteur d'émission de positons;112609732;11-11-1505;11-11-1505;2003-05-20;930100037;2008-06-30
750712184;ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS;05705;Tomographe à émissions;112609733;11-11-1506;11-11-1506;2002-05-03;930100037;2008-06-30
930000393;SAS HOP PRIVE EUROPEEN DE PARIS GVM;05701;Caméra à scintillation sans détecteur d'émission de positons;112609782;11-11-1523;11-11-1523;2004-05-18;930300025;2004-05-18
